
0,020;305,720
0,532;305,720
0,599;305,720
0,722;305,720
0,797;305,720
0,844;305,720
0,890;305,720
1,034;305,720
1,081;305,720
1,129;305,720
1,176;305,720
1,320;305,720
1,367;305,720
1,442;305,720
1,489;305,720
1,599;305,720
1,674;305,720
1,721;305,720
1,769;305,720
2,408;305,600
2,455;305,600
2,523;305,600
2,672;305,600
2,719;305,600
2,766;305,600
2,841;305,600
2,958;305,600
3,032;305,600
3,079;305,600
3,126;305,600
3,270;305,600
3,317;305,600
3,365;305,600
3,412;305,600
3,487;305,600
3,596;305,600
3,643;305,600
3,719;305,600
4,283;305,710
4,404;305,710
4,470;305,710
4,620;305,710
4,667;305,710
4,715;305,710
4,762;305,710
4,906;305,710
4,953;305,710
5,000;305,710
5,075;305,710
5,191;305,710
5,238;305,710
5,313;305,710
5,360;305,710
5,408;305,710
5,544;305,710
5,591;305,710
0,019;304,700
0,107;304,700
0,224;304,700
0,299;304,700
0,347;304,700
0,394;304,700
0,538;304,700
0,586;304,700
0,633;304,700
0,682;304,700
0,820;304,700
0,868;304,700
0,915;304,700
0,991;304,750
1,599;304,750
1,676;304,750
1,818;304,750
1,894;304,750
1,943;304,750
1,990;304,750
2,134;304,750
2,182;304,750
2,230;304,750
2,277;304,750
2,353;304,750
2,470;304,750
2,518;304,750
2,593;304,750
2,641;304,750
2,752;304,750
2,827;304,750
2,875;304,750
2,922;304,610
3,568;304,610
3,616;304,610
3,712;304,610
3,835;304,610
3,882;304,610
3,958;304,610
4,006;304,610
4,123;304,610
4,197;304,610
4,245;304,610
4,293;304,610
4,436;304,610
4,484;304,610
4,533;304,610
4,580;304,610
4,719;304,610
4,766;304,610
4,813;304,610
4,887;304,570
5,531;304,570
5,580;304,570
5,628;304,570
5,799;304,570
5,847;304,570
5,894;304,570
5,941;304,570
6,085;304,570
6,133;304,570
6,208;304,570
6,256;304,570
6,304;304,570
6,448;304,570
6,495;304,570
6,542;304,570
6,589;304,570
6,727;304,570
6,774;304,570
6,822;304,570
6,898;304,590
7,509;304,590
7,586;304,590
7,727;304,590
7,803;304,590
7,851;304,590
7,899;304,590
8,044;304,590
8,092;304,590
8,141;304,590
8,188;304,590
8,264;304,590
8,381;304,590
8,429;304,590
8,504;304,590
8,552;304,590
8,663;304,590
8,739;304,590
8,786;304,590
8,833;304,580
9,478;304,580
9,526;304,580
9,621;304,580
9,744;304,580
9,792;304,580
9,868;304,580
9,915;304,580
10,032;304,580
10,108;304,580
10,156;304,580
10,204;304,580
10,349;304,580
10,396;304,580
10,443;304,580
10,491;304,580
10,629;304,580
10,677;304,580
10,724;304,580
10,799;304,590
11,443;304,590
11,493;304,590
11,541;304,590
11,711;304,590
11,758;304,590
11,805;304,590
11,852;304,590
11,996;304,590
12,043;304,590
12,119;304,590
12,166;304,590
12,214;304,590
12,358;304,590
12,405;304,590
12,453;304,590
12,501;304,590
12,640;304,590
12,688;304,590
12,735;304,590
12,811;304,570
13,419;304,570
13,493;304,570
13,636;304,570
13,711;304,570
13,759;304,570
13,806;304,570
13,951;304,570
13,999;304,570
14,047;304,570
14,094;304,570
14,170;304,570
14,288;304,570
14,335;304,570
14,410;304,570
14,458;304,570
14,569;304,570
14,644;304,570
14,691;304,570
14,738;304,510
15,383;304,510
15,431;304,510
15,499;304,510
15,650;304,510
15,697;304,510
15,773;304,510
15,822;304,510
15,939;304,510
16,013;304,510
16,061;304,510
16,108;304,510
16,252;304,510
16,300;304,510
16,349;304,510
16,396;304,510
16,534;304,510
16,581;304,510
16,628;304,510
16,704;304,460
17,321;304,460
17,395;304,460
17,538;304,460
17,614;304,460
17,661;304,460
17,709;304,460
17,853;304,460
17,901;304,460
17,949;304,460
17,996;304,460
18,072;304,460
18,190;304,460
18,265;304,460
18,312;304,460
18,359;304,460
18,498;304,460
18,545;304,460
18,593;304,460
18,640;304,500
19,278;304,500
19,327;304,500
19,497;304,500
19,545;304,500
19,592;304,500
19,667;304,500
